"","Location","PopTotal"
"157409","Mayotte",266153
"158293","Melanesia",10918534
"159177","Mexico",127575529
"160061","Micronesia",543483
"160945","Micronesia (Fed. States of)",113811
"161829","Middle Africa",174308427
"162713","Middle-income countries",5696667314
"163597","Monaco",38967
"164481","Mongolia",3225166
"165365","Montenegro",627988
"166249","Montserrat",4991
"167133","More developed regions",1270630320
"168017","More developed: Asia",126860299
"168168","More developed: Europe",747182815
"168319","More developed: Northern America",366600944
"168470","More developed: Oceania",29986262
"168621","Morocco",36471766
"169505","Mozambique",30366043
"170389","Myanmar",54045422
"171273","Namibia",2494524
"172157","Nauru",10764
"173041","Nepal",28608715
"173925","Netherlands",17097123
"174809","Netherlands (and dependencies)",17435228
"174960","New Caledonia",282757
"175844","New EU member states (joined since 2004)",103923275
"175995","New Zealand",4783062
"176879","New Zealand (and dependencies)",4803553
"177030","Nicaragua",6545503
"177914","Niger",23310719
"178798","Nigeria",200963603
"179682","Niue",1614
"180566","No income group available",2907666
"181450","Non-Self-Governing Territories",1731701
"181601","North American Free Trade Agreement (NAFTA)",494051484
"181752","North Atlantic Treaty Organization (NATO)",940604181
"181903","North Macedonia",2083458
"182787","Northern Africa",241780765
"183671","Northern Africa and Western Asia",517105558
"184624","Northern America",366600944
"184625","Northern America",366600944
"186323","Northern Europe",105768532
"187207","Northern Mariana Islands",57213
"188091","Norway",5378859
"188975","Oceania",42128048
"189859","Oceania (excluding Australia and New Zealand)",12141786
"190743","Oman",4974992
"191627","Organisation for Economic Co-operation and Development (OECD)",1307716642
"191778","Organization for Security and Co-operation in Europe (OSCE)",1291387201
"191929","Organization of American States (OAS)",1009950130
"192080","Organization of Petroleum Exporting countries (OPEC)",507887773
"192231","Organization of the Islamic Conference (OIC)",1872842323
"192382","Pakistan",216565317
"193266","Palau",18001
"194150","Panama",4246440
"195034","Papua New Guinea",8776119
"195918","Paraguay",7044639
"196802","Peru",32510462
"197686","Philippines",108116622
"198570","Poland",37887771
"199454","Polynesia",679769
"200338","Portugal",10226178
"201222","Puerto Rico",2933404
"202106","Qatar",2832071
"202990","Republic of Korea",51225321
"203874","Republic of Moldova",4043258
"204758","Romania",19364558
"205642","Russian Federation",145872260
"206526","Rwanda",12626938
"207410","Réunion",888932
"208294","SIDS Atlantic, and Indian Ocean, Mediterranean and South China Sea (AIMS)",15990784
"208445","SIDS Caribbean",43309023
"208596","SIDS Pacific",12129020
"208747","Saint Barthélemy",9853
"209631","Saint Helena",6061
"210515","Saint Kitts and Nevis",52834
"211399","Saint Lucia",182795
"212283","Saint Martin (French part)",38002
"213167","Saint Pierre and Miquelon",5821
"214051","Saint Vincent and the Grenadines",110593
"214935","Samoa",197093
"215819","San Marino",33864
"216703","Sao Tome and Principe",215048
"217587","Saudi Arabia",34268529
"218471","Senegal",16296362
"219355","Serbia",8772228
"220239","Seychelles",97741
"221123","Shanghai Cooperation Organization (SCO)",3229909042
"221274","Sierra Leone",7813207
"222158","Singapore",5804343
"223042","Sint Maarten (Dutch part)",42389
"223926","Slovakia",5457012
"224810","Slovenia",2078654
"225694","Small Island Developing States (SIDS)",71428827
"226578","Solomon Islands",669821
"227462","Somalia",15442906
"228346","South Africa",58558267
"229230","South America",427199425
"230114","South Asian Association for Regional Cooperation (SAARC)",1835297503
"230265","South Sudan",11062114
"231149","South-Eastern Asia",662011846
"232033","Southern Africa",66629894
